"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"颱風假","5M+","November 9, 2025 at 2:10:00 PM UTC+8",,"颱風假,颱風,颱風動態,停班停課,颱風停班停課,停班停課最新通知,颱風放假,颱風路徑,鳳凰颱風動態,衛星雲圖,颱風動向,颱風鳳凰,上班上課,明天停班停課最新通知,最新颱風動態,豪雨特報,停止上班上課,台中颱風假,停班課,停班,氣象局,鳳凰颱風最新動態,桃園停班停課最新通知,高雄停班停課,桃園停班停課,颱風動態最新,放假颱風,台北停班停課,颱風最新動態,台中停班停課,行政院停班停課,颱風位置,宜蘭停班停課,颱風假查詢,颱風天,11/12停班停課,新竹颱風假,彰化停班停課,台風最新消息,中央氣象局颱風,現在颱風動態,台南停班停課,氣象雲圖,雷達回波,最新颱風路徑,新北市停班停課,颱風天放假,中央氣象局颱風動態,中央氣象局,停班停課查詢,颱風衛星雲圖,超大豪雨特報,台北市停班停課,11/11颱風假,颱風假台中,明天會放颱風假嗎,颱風假公布,颱風假發布,北北基明天停班停課最新,高雄颱風假,台中,嘉義市停班停課,高雄,鳳凰颱風停班停課,停課,雲林停班停課最新通知,新竹停班停課,高雄明天停班停課嗎,明天停班停課,台中颱風,風力預測,雲林停班停課,颱風假11/12,颱風假高雄,明日停班停課,颱風動態停班停課,鳳凰颱風,高雄市政府,高雄颱風,氣象署,台南颱風假,中央氣象,陳其邁,台北放假,台中市政府,彰化颱風假,彰化縣政府,台中放假,颱風 放假,颱風假機率,颱風快訊最新,台北,日本氣象廳,颱風警報,中央,宜蘭颱風假,1112 颱風假,人事行政局停班停課,台南,颱風停班,颱風 台中,中央氣象署,宜蘭縣停班停課,鳳凰颱風假,盧秀燕,苗栗,高雄放假,高雄市停班停課,停班停課標準,11/12,新北颱風假,台中市停班停課,明天颱風假,黃偉哲,颱風 高雄,停止上班上課縣市,11/12有放假嗎,颱風現況,颱風走向,鳳凰停班停課,雲林縣停班停課最新通知,陸上颱風警報,停班課資訊,停班停課宜蘭,宜蘭停班停課11/12,嘉義停班停課,彰化停班停課最新通知,颱風快訊,苗栗颱風假,侯友宜,桃園機場,停課停班,颱風停班停課北北基,王惠美,明天的天氣,宜蘭放假,新北市,雲林颱風假,停班停課 宜蘭,颱風停課,颱風停班停課最新通知,屏東停班停課,颱風假 台中,颱風台中,台中市,颱風登陸,新北停班停課,颱風假台北,颱風路線,台中停班停課最新通知,明天有放颱風假嗎,新竹縣颱風假,颱風假台南,停班停課台中,風雨預測,颱風目前位置,颱風即時動態,台南市政府,高雄 颱風,宜蘭停班停課最新通知,台風停班停課,停班停課桃園,停班停課台北,天氣雲圖,桃園颱風,行政院颱風假,共伴效應,宜蘭停班課,台中 颱風假,雨量預測,明天停班停課最新通知11/12,明天上班上課,嘉義,全台停班停課,颱風停班課,11/12颱風假宜蘭,花蓮停班停課,11/12停班停課最新通知,台中停班,明天桃園會放颱風假嗎,台風假,桃園上班,台東停班停課,明天放假嗎,颱風動態圖,新竹颱風,新竹市颱風假,苗栗停班停課,颱風假彰化,台南放假,台风假,颱風消息,上班,颱風高雄,台南颱風,颱風上班上課,宜蘭停班,停班停課資訊,停,雲林縣長,台東,鳳凰颱風停班,台中 颱風,颱風 停班停課,嘉義縣停班停課,颱風天停班停課,高雄停班停課最新通知,新北市颱風假,文化大學,黃敏惠,台北市颱風假,新北,最新停班停課,桃園停班,彰化颱風,上班上課一覽,台南市停班停課最新通知,台中市颱風假,明天會放假嗎,宜蘭上班上課,嘉義縣,停班停課高雄,嘉義市颱風假,上班上課台北,颱風假 11/12,停班停課 台中,基隆停班停課,停班課宣布,高雄市停班停課最新通知,宜蘭 停班停課,颱風動態台中,高雄市,颱風假 彰化,停班停課 高雄,屏東,停班停課 彰化,台中停止上班上課,彰化停班,停止上班,11月12日有放假嗎,停班課標準,颱風停班停課標準,台中停課,高雄停班,停班停課最新通知2025,氣象局颱風,桃園市停班停課,颱風 台南,停班停課彰化,台北上班上課,放颱風假,臺北停班停課,台中 放假,鳳凰颱風路徑,台中 停班停課,北北基明天停班停課,嘉義颱風假,上班課,颱風假 高雄,台中停班課,台中明天會放颱風假嗎,新北停班停課最新通知,人事行政總處停班停課,停班停課雲林,台南停班停課最新通知,颱風預測,停班停課最新,高雄 颱風假,明天,台北市放假,嘉義縣政府,停班停課最新通知11/12,全國停班停課,桃園上班上課,臺南停班停課,停班停課 雲林,颱風新聞,颱風假新北,新北放假,輕颱,新竹 颱風,停班停課新竹,停 班,各縣市停班停課,停班停課通知,颱風11/12,苗栗放假,桃園停班停課最新通知11/12,颱風動態高雄,雷達迴波,颱風動態放假,鳳凰颱風強度,鳳凰颱風假台中,氣象,颱風架,台中市停班停課最新通知,高雄 停班停課,停班停課 台南,台南 颱風,高雄停班課,颱風警戒區,11/12放假,雲林颱風,風雨預報,新聞颱風,彰化 颱風,停班停課 桃園,颱風 停班,台南市,停班停課 新竹,颱風動態衛星雲圖,颱風 桃園,颱風台南,高雄 放假,停班停課台南,台南停班,停班停課 台北,台南 颱風假,屏東停班停課最新通知,11/11停班停課,陸警,停班停課縣市,台北停班,颱風 新竹,11/12颱風,北北基桃颱風假,明天放假,新竹縣停班停課,11 12停班停課,臺中颱風假,上班上課桃園,颱風預報,明天停班停課最新通知9 23,屏東颱風假,11/12 颱風假,周春米,台中上班上課,屏東放假,屏東縣政府,台南市停班停課,明天台中會放颱風假嗎,台北 停班停課,海警,新竹 颱風假,高雄市長,高雄停課,海上颱風警報,颱風假宣布,天氣,颱風家,停班停課最新通知台中,颱風假 台南,11 11 停班停課,停止上班上課查詢,颱風放假縣市,高雄颱風停班停課,颱風假嘉義,颱風假1112,台中有放颱風假嗎,雷達,明天放颱風假嗎,颱風路徑預測,颱風停止上班上課,最新颱風動態高雄,11/10颱風假,新北市放假,明天停班課,1112颱風假,颱風災情,飛機停飛,菲律賓,颱,停班停課11 12,明天高雄會放颱風假嗎,颱風假 台北,新北颱風,明天停班停課最新通知7 7,放假縣市,明天停止上班上課,11 11 停 班 停課,台北 颱風假,桃園 停班停課,雙北颱風假,新北市長,颱風強度,天然災害停止上班及上課作業辦法,台風動態,鳳凰颱風動向,高雄市颱風假,台北停班課,正常上班上課,台南 停班停課,台风凤凰,天氣預報,台北 放假,台南上班上課,即時新聞,台北市停班課,宜蘭明天停班停課,桃園停班課,新竹縣,氣象預報,桃園明天會放颱風假嗎,宜蘭明天會放颱風假嗎,桃園停課,颱風 動態,停班停课,衛星雲圖颱風,颱風 彰化,明天台北會放颱風假嗎,台風路徑,北北基颱風假,李先彬,宜蘭縣政府,今天有放颱風假嗎,颱風路徑圖,颱風最新,高雄天氣,桃園市颱風假,明天停班停課的縣市,鳳凰颱風動態最新,新北市停班課,鳳凰颱風放假,陸上警報,台北市停班,輕度颱風 鳳凰,颱風假11/11,台北市 颱風,南瑪都颱風,格致國中,菲律賓颱風,11月颱風,台灣颱風,台北市 停班停課,台南天氣,中國文化大學,台灣時間,颱風 菲律賓,颱風 停課,明天有颱風假嗎,鳳凰颱風 菲律賓,丹娜絲颱風,台北市上班上課,山陀兒颱風,雲圖,台北市 放假,菲律賓 颱風,台北天氣,台北停課,yahoo奇摩,今天立冬,鳳凰颱風最新路徑,台北 天氣,今日天氣,氣象廳","https://trends.google.com/trends/explore?q=%E9%A2%B1%E9%A2%A8%E5%81%87&geo=TW&hl=en-US"
"吳亦凡","100K+","November 9, 2025 at 10:20:00 AM UTC+8",,"吳亦凡,吳亦凡死因,吳亦凡現況","https://trends.google.com/trends/explore?q=%E5%90%B3%E4%BA%A6%E5%87%A1&geo=TW&hl=en-US"
"放假","200K+","November 10, 2025 at 5:40:00 AM UTC+8",,"放假,台北颱風假,張善政,咕嚕咕嚕,桃園,桃園放假,桃園颱風假,桃園市長,颱風假桃園,咕嚕咕嚕蔣萬安,蔣萬安,桃園市,台北市,北北基,桃園市政府,明天放假,颱風 台北,颱風放假標準,北北基桃,台北颱風,大江,桃園 放假,台茂,桃園風雨,颱風假 台北,颱風天上班,桃園垃圾車,桃園 颱風假,居住地颱風假,台北 颱風假,桃園明天會放颱風假嗎,桃園縣,新北市政府,北北基颱風假,台北 颱風,颱風假 桃園,台北 放假,颱風台北,颱風 桃園,颱風天出勤,放假標準,桃園停班課,桃園 停班,桃園放颱風假,颱風桃園,北北基桃颱風假,北北基桃不放假,桃園市放假,桃園上班,台北市颱風,華泰,上班課,中壢","https://trends.google.com/trends/explore?q=%E6%94%BE%E5%81%87&geo=TW&hl=en-US"
"普發一萬什麼時候入帳","200K+","November 9, 2025 at 6:20:00 PM UTC+8",,"普發一萬什麼時候入帳,普發一萬入帳時間,普發一萬查詢,普發入帳,普發一萬登記查詢,10000入帳時間,普法發一萬入帳時間,普發一萬 atm,普發一萬入帳,普發查詢,一萬入帳,普發入帳時間,普發登記查詢,普發一萬何時入帳,10000.gov.tw登記,atm領一萬,一萬普發登記,郵局普發一萬,普發一萬登記網址https 10000 gov tw,普發一萬網站,普發一萬查詢登記結果,1萬入帳時間,普發一萬,查詢普發登記結果,普發一萬線上登記網站在哪裡,財政部普發一萬線上登記網站,普發登記網站,普發查詢登記結果,普發一萬銀行加碼,普發 登記,財政部普發一萬登記,一萬,普發金,普發現金,10000 gov tw官網線上申請2025,10000 gov tw網站,華南銀行普發一萬,普發10000登記,普發一萬銀行,普發一萬官網,普發現金官網,郵局普發,普發一萬 銀行,普發什麼時候入帳,富邦普發一萬,普發一萬 登記,10000 gov tw官網線上申請,普發一萬 入帳,普發一萬優惠,台新普發一萬,普發一萬銀行優惠,普發一萬登記網站,普發現金一萬,普發銀行優惠,普發一萬登記時間,一萬塊登記,1萬元登記,10000 gov tw線上申請,中國信託普發一萬加碼,普發加碼,一萬元,普發1萬登記,普發一萬atm領取,普發1萬網站,登記普發,1萬普發登記,楊文科,普發一萬元,普發現金登記網站,台新銀行普發一萬,全民普發一萬,line bank 普發一萬,將來銀行普發一萬,全民普發,玉山普發一萬加碼,一萬元登記網站,一萬元普發,1萬普發,現金普發,普發一萬 優惠,政府發一萬,普發一萬登記銀行加碼,萬元普發登記,普發登記時間,普發一萬 加碼,10000普發登記,普發現金1萬元,1萬元,普 發 一 萬,銀行普發加碼,現金普發登記,線上登記入帳,全民+1政府相挺,華南,政府普發一萬登記,普發一萬atm,atm 領普發一萬,11/5登記,10000 gov tw查询,國泰普發一萬,永豐普發一萬,元大","https://trends.google.com/trends/explore?q=%E6%99%AE%E7%99%BC%E4%B8%80%E8%90%AC%E4%BB%80%E9%BA%BC%E6%99%82%E5%80%99%E5%85%A5%E5%B8%B3&geo=TW&hl=en-US"
"親愛的x韓劇線上看","50K+","November 6, 2025 at 10:20:00 PM UTC+8",,"親愛的x韓劇線上看,親愛的x韓劇,親愛的x結局,金裕貞,金永大","https://trends.google.com/trends/explore?q=%E8%A6%AA%E6%84%9B%E7%9A%84x%E9%9F%93%E5%8A%87%E7%B7%9A%E4%B8%8A%E7%9C%8B&geo=TW&hl=en-US"
"操控遊戲","50K+","November 5, 2025 at 7:00:00 PM UTC+8",,"操控遊戲,操控遊戲線上看,池昌旭,操控遊戲韓劇","https://trends.google.com/trends/explore?q=%E6%93%8D%E6%8E%A7%E9%81%8A%E6%88%B2&geo=TW&hl=en-US"
"泫雅","50K+","November 9, 2025 at 8:20:00 PM UTC+8",,"泫雅,泫雅暈倒,炫雅暈倒,泫雅昏倒,泫雅ig,玄雅","https://trends.google.com/trends/explore?q=%E6%B3%AB%E9%9B%85&geo=TW&hl=en-US"
"颱風價","20K+","November 9, 2025 at 7:40:00 PM UTC+8",,"颱風價,台大大氣系,大氣系雞排,颱風動態台北,大氣系","https://trends.google.com/trends/explore?q=%E9%A2%B1%E9%A2%A8%E5%83%B9&geo=TW&hl=en-US"
"你旁觀的罪","20K+","November 7, 2025 at 7:30:00 PM UTC+8",,"你旁觀的罪","https://trends.google.com/trends/explore?q=%E4%BD%A0%E6%97%81%E8%A7%80%E7%9A%84%E7%BD%AA&geo=TW&hl=en-US"
"吳石","20K+","November 7, 2025 at 5:50:00 PM UTC+8",,"吳石,蔡正元","https://trends.google.com/trends/explore?q=%E5%90%B3%E7%9F%B3&geo=TW&hl=en-US"
